xxxx;;;;;;;;;;;;;;x
left_wing_radical_ARG;阿根廷激进公民联盟;Uni髇 C韛ica Radical;Uni髇 C韛ica Radical;;Uni髇 C韛ica Radical;;;;;;;;;;x
leninist_ARG;列宁主义;Partido Obrero;Partido Obrero;;Partido Obrero;;;;;;;;;;x
stalinist_ARG;斯大林主义;Partido Comunista de la Argentina;Partido Comunista de la Argentina;;Partido Comunista de la Argentina;;;;;;;;;;x
national_socialist_AUS;国家社会主义;NSDAP;NSDAP;;NSDAP;;;;;;;;;;x
fascistic_AUS;法西斯主义;VF;VF;;VF;;;;;;;;;;x
paternal_autocrat_AUS;独裁统治;GDVP;GDVP;;GDVP;;;;;;;;;;x
social_conservative_AUS;社会保守主义;CSP;CSP;;CSP;;;;;;;;;;x
market_liberal_AUS;贸易自由主义;Landbund;Landbund;;Landbund;;;;;;;;;;x
social_liberal_AUS;社会自由主义;諷LP;諷LP;;諷LP;;;;;;;;;;x
social_democrat_AUS;社会民主党;SDAP?;;;;;;;;;x
left_wing_radical_AUS;左翼激进主义;Schutzbund;Schutzbund;;Schutzbund;;;;;;;;;;x
leninist_AUS;列宁主义;MLP?;;;;;;;;;x
stalinist_AUS;斯大林主义;KPD?;KPD?;;;;;;;;;x
national_socialist_BEL;国家社会主义联盟;Verdinaso;Verdinaso;;Verdinaso;;;;;;;;;;x
fascistic_BEL;法西斯主义;Rex;Rex;;Rex;;;;;;;;;;x
paternal_autocrat_BEL;独裁统治;VNV;VNV;;VNV;;;;;;;;;;x
social_conservative_BEL;社会保守党;Katholieke Unie-Union Catholique;Katholieke Unie-Union Catholique;;Katholieke Unie-Union Catholique;;;;;;;;;;x
market_liberal_BEL;贸易自由主义;Liberale Partij-Parti Lib閞al;Liberale Partij-Parti Lib閞al;;Liberale Partij-Parti Lib閞al;;;;;;;;;;x
social_liberal_BEL;社会自由主义;Afgescheurde Liberalen-Lib閞aux D閏hir閟;Afgescheurde Liberalen-Lib閞aux D閏hir閟;;Afgescheurde Liberalen-Lib閞aux D閏hir閟;;;;;;;;;;x
social_democrat_BEL;社会民主党;BWP-BOP;BWP-BOP;;BWP-BOP;;;;;;;;;;x
left_wing_radical_BEL;左翼激进主义;Rev.Soc.Actie-Action Soc.Rev.;Rev.Soc.Actie-Action Soc.Rev.;;Rev.Soc.Actie-Action Soc.Rev.;;;;;;;;;;x
leninist_BEL;列宁主义;Lijst Van Overstraeten-Liste Van Overstraeten;Lijst Van Overstraeten-Liste Van Overstraeten;;Lijst Van Overstraeten-Liste Van Overstraeten;;;;;;;;;;x
stalinist_BEL;斯大林主义;KPB-PCB?KPB-PCB;;KPB-PCB;;;;;;;;;;x
national_socialist_BHU;不丹国家社会主义党;Parti national socialiste du Bhoutan;Nationalsolzialistische Partei Bhutans;;Partido Nacionalsocialista de But醤;;;;;;;;;;x
fascistic_BHU;不丹法西斯联盟;Ligue fasciste du Bhoutan;Faschistische Liga Bhutan;;Liga Fascista de But醤;;;;;;;;;;x
paternal_autocrat_BHU;不丹和平与繁荣党;Parti de la paix et de la prosp閞it?du Bhoutan;Friedens- und Wohlstandspartei Bhutans;;Partido de la Paz y la Prosperidad de But醤;;;;;;;;;;x
social_conservative_BHU;不丹保守党;Parti conservateur du Bhoutan;Konservative Partei Bhutans;;Partido Conservador de But醤;;;;;;;;;;x
market_liberal_BHU;不丹国家民主党;Parti national d閙ocratique du Bhoutan;Nationaldemokratische Partei Bhutans;;Partido Nacional Dem骳rata de But醤 ;;;;;;;;;;x
social_liberal_BHU;Bhutan 不丹国大党;Parti national du Congr鑣 du Bhoutan;Nationalkongresspartei Bhutans;;Partido del Congreso Nacional de But醤;;;;;;;;;;x
social_democrat_BHU;人民民主党;Parti d閙ocratique populaire;Demokratische Volkspartei;;Partido Democr醫rico del Pueblo;;;;;;;;;;x
left_wing_radical_BHU;不丹人民党;Parti du peuple du Bhoutan;Bhutanische Volkspartei;;Partido del Pueblo de But醤;;;;;;;;;;x
leninist_BHU;不丹共产党;Parti communiste du Bhoutan;Kommunistische Partei Bhutans;;Partido Comunista de But醤;;;;;;;;;;x
stalinist_BHU;斯大林主义共产党;Parti communiste bhoutanais;Kommunistische Partei von Bhutan;;Partido Comunista de But醤;;;;;;;;;;x
national_socialist_BOL;国家社会运动党;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_BOL;玻利维亚长枪党;Falange Socialista Boliviana;Falange Socialista Boliviana;;Falange Socialista Boliviana;;;;;;;;;;x
paternal_autocrat_BOL;独裁主义,;Nueva Fuerza Republicana,;Nueva Fuerza Republicana;;Nueva Fuerza Republicana,;;;;;;;;;;x
social_conservative_BOL;社会保守党;Unidad C韛ica Solidaridad;Unidad C韛ica Solidaridad;;Unidad C韛ica Solidaridad;;;;;;;;;;x
market_liberal_BOL;贸易自由主义;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;;x
social_liberal_BOL;社会自由主义;Movimiento Nacionalista Revolucionario;Movimiento Nacionalista Revolucionario;;Movimiento Nacionalista Revolucionario;;;;;;;;;;x
social_democrat_BOL;社会民主党;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x
left_wing_radical_BOL;左翼激进主义;Partido Obrero Revolucionario;Partido Obrero Revolucionario;;Partido Obrero Revolucionario;;;;;;;;;;x
leninist_BOL;列宁主义;Partido de la Izquierda Revolucionaria;Partido de la Izquierda Revolucionaria;;Partido de la Izquierda Revolucionaria;;;;;;;;;;x
stalinist_BOL;斯大林主义共产党;Partido Comunista de Bolivia;Partido Comunista de Bolivia;;Partido Comunista de Bolivia;;;;;;;;;;x
national_socialist_BRA;巴西国家社会主义党;Partido Nacional Socialista Brasileira;Partido Nacional Socialista Brasileira;;Partido Nacionalsocialista Brasileira;;;;;;;;;;x
fascistic_BRA;巴西法西斯党;A玢o Integralista Brasileira;A玢o Integralista Brasileira;;A玢o Integralista Brasileira;;;;;;;;;;x
paternal_autocrat_BRA;独裁主义;ARENA;ARENA;;ARENA;;;;;;;;;;x
social_conservative_BRA;社会保守党;Partido de Representa玢o Popular;Partido de Representa玢o Popular;;Partido de Representa玢o Popular;;;;;;;;;;x
market_liberal_BRA;贸易自由主义;Uni鉶 Democr醫ica Nacional;Uni鉶 Democr醫ica Nacional;;Uni鉶 Democr醫ica Nacional;;;;;;;;;;x
social_liberal_BRA;社会自由主义;Partido Social Democr醫ico;Partido Social Democr醫ico;;Partido Social Democr醫ico;;;;;;;;;;x
social_democrat_BRA;巴西民主党;Partido Trabalhista Brasileiro;Partido Trabalhista Brasileiro;;Partido Trabalhista Brasileiro;;;;;;;;;;x
left_wing_radical_BRA;左翼激进主义;Partido Socialismo e Liberdade;Partido Socialismo e Liberdade;;Partido Socialismo e Liberdade;;;;;;;;;;x
leninist_BRA;巴西列宁主义共产党;Partido Comunista do Brasil;Partido Comunista do Brasil;;Partido Comunista do Brasil;;;;;;;;;;x
stalinist_BRA;巴西斯大林主义共产党;Partido Comunista Brasileiro;Partido Comunista Brasileiro;;Partido Comunista Brasileiro;;;;;;;;;;x
national_socialist_BUL;保加利亚国家社会主义党;Ratnitsi Napreduka na Bulgarshtinata;Ratnitsi Napreduka na Bulgarshtinata;;Ratnitsi Napreduka na Bulgarshtinata;;;;;;;;;;x
fascistic_BUL;法西斯主义;IMRO;IMRO;;IMRO;;;;;;;;;;x
paternal_autocrat_BUL;独裁主义;Zveno;Zveno;;Zveno;;;;;;;;;;x
social_conservative_BUL;社会保守党;Balgarski Zemedelski Naroden Sajuz;Balgarski Zemedelski Naroden Sajuz;;Balgarski Zemedelski Naroden Sajuz;;;;;;;;;;x
market_liberal_BUL;贸易自由主义;Demokraticheska partija;Demokraticheska partija;;Demokraticheska partija;;;;;;;;;;x
social_liberal_BUL;社会自由主义;Obedinena Narodnoprogresivna Partija;Obedinena Narodnoprogresivna Partija;;Obedinena Narodnoprogresivna Partija;;;;;;;;;;x
social_democrat_BUL;社会民主党;Partiya Balgarski Sotsialdemokrati;Partiya Balgarski Sotsialdemokrati;;Partiya Balgarski Sotsialdemokrati;;;;;;;;;;x
left_wing_radical_BUL;左翼激进主义;Radikalna Partija;Radikalna Partija;;Radikalna Partija;;;;;;;;;;x
leninist_BUL;列宁主义;Tesnyatsi;Tesnyatsi;;Tesnyatsi;;;;;;;;;;x
stalinist_BUL;保加利亚斯大林主义共产党;Balgarska Komunisticheska Partija;Balgarska Komunisticheska Partija;;Balgarska Komunisticheska Partija;;;;;;;;;;x
national_socialist_CGX;国家社会主义党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_CGX;中国青年党;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x
paternal_autocrat_CGX;中国国民党;Kuomintang;Guomindang;;Kuomintang;;;;;;;;;;x
social_conservative_CGX;保皇党;Soci閠?pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protecci髇 al Emperador;;;;;;;;;;x
market_liberal_CGX;立宪党;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x
social_liberal_CGX;维新党;R閒ormistes des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien D韆s;;;;;;;;;;x
social_democrat_CGX;进步党;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x
left_wing_radical_CGX;桂系;Clique de Guangxi;Guangxi-Clique;;Camarilla de Guangxi;;;;;;;;;;x
leninist_CGX;中国工农党;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos de China;;;;;;;;;;x
stalinist_CGX;中国共产党;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x
national_socialist_CSX;国家社会主义党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_CSX;中国青年党;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x
social_conservative_CSX;保皇党;Soci閠?pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protecci髇 al Emperador;;;;;;;;;;x
market_liberal_CSX;立宪党;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x
social_liberal_CSX;维新党;Parti r閒ormiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien D韆s;;;;;;;;;;x
social_democrat_CSX;进步党;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x
left_wing_radical_CSX;五四运动;Mouvement du 4 mai;4. Mai-Bewegung;;Movimiento del Cuatro de Mayo;;;;;;;;;;x
leninist_CSX;中国工农党;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos de China;;;;;;;;;;x
stalinist_CSX;中国共产党;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x
national_socialist_CHL;智利国家社会主义运动党;Movimiento Nacional Socialista de Chile;Movimiento Nacional Socialista de Chile;;Movimiento Nacionalsocialista de Chile;;;;;;;;;;x
fascistic_CHL;智利长枪党;Falange de Chile;Falange de Chile;;Falange de Chile;;;;;;;;;;x
paternal_autocrat_CHL;独裁主义;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x
social_conservative_CHL;智利社会保守党;Partido Dem骳rata Cristiano de Chile;Partido Dem骳rata Cristiano de Chile;;Partido Dem骳rata Cristiano de Chile;;;;;;;;;;x
market_liberal_CHL;智利民族党;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;;x
social_liberal_CHL;自由党;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;;x
social_democrat_CHL;智利社会民主党;Partido Socialista de Chile;Partido Socialista de Chile;;Partido Socialista de Chile;;;;;;;;;;x
left_wing_radical_CHL;左翼激进主义;Partido Radical;Partido Radical;;Partido Radical;;;;;;;;;;x
leninist_CHL;社会主义工农党;Partido Socialista Obrero;Partido Socialista Obrero;;Partido Socialista Obrero;;;;;;;;;;x
stalinist_CHL;智利共产党;Partido Comunista de Chile;Partido Comunista de Chile;;Partido Comunista de Chile;;;;;;;;;;x
national_socialist_COL;国家社会主义运动党;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_COL;哥伦比亚长枪党;Falange del Colombia;Falange del Colombia;;Falange de Colombia;;;;;;;;;;x
paternal_autocrat_COL;独裁主义;Acci髇 Nacional;Acci髇 Nacional;;Acci髇 Nacional;;;;;;;;;;x
social_conservative_COL;哥伦比亚社会保守党;Partido Conservador Colombiano;Partido Conservador Colombiano;;Partido Conservador Colombiano;;;;;;;;;;x
market_liberal_COL;贸易自由主义;Partido Liberal Radical Colombiano;Partido Liberal Radical Colombiano;;Partido Liberal Radical Colombiano;;;;;;;;;;x
social_liberal_COL;哥伦比亚自由党;Partido Liberal Colombiano;Partido Liberal Colombiano;;Partido Liberal Colombiano;;;;;;;;;;x
social_democrat_COL;哥伦比亚社会民主党;Partido Socialdem骳rata Colombiano;Partido Socialdem骳rata Colombiano;;Partido Socialdem骳rata Colombiano;;;;;;;;;;x
left_wing_radical_COL;哥伦比亚劳动党;Partido de los Trabajadores del Colombia;Partido de los Trabajadores del Colombia;;Partido de los Trabajadores del Colombia;;;;;;;;;;x
leninist_COL;哥伦比亚马克思主义共产党;Partido Comunista Marxista-Leninista del Colombia;Partido Comunista Marxista-Leninista del Colombia;;Partido Comunista Marxista-Leninista de Colombia;;;;;;;;;;x
stalinist_COL;哥伦比亚共产党;Partido Comunista del Colombia;Partido Comunista del Colombia;;Partido Comunista de Colombia;;;;;;;;;;x
national_socialist_COS;国家社会主义运动党;Moviemento Nacional Socialista;Moviemento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_COS;哥斯达黎加长枪党;Falange de Costa Rica;Falange de Costa Rica;;Falange de Costa Rica;;;;;;;;;;x
paternal_autocrat_COS;国家共和党;Partido Republicano Nacional;Partido Republicano Nacional;;Partido Republicano Nacional;;;;;;;;;;x
social_conservative_COS;社会团结党;Partido de Unidad Socialcristiana;Partido de Unidad Socialcristiana;;Partido de Unidad Socialcristiana;;;;;;;;;;x
market_liberal_COS;自由运动党;Partido Movimiento Libertario;Partido Movimiento Libertario;;Partido Movimiento Libertario;;;;;;;;;;x
social_liberal_COS;民族自由党;Partido Liberaci髇 Nacional;Partido Liberaci髇 Nacional;;Partido Liberaci髇 Nacional;;;;;;;;;;x
social_democrat_COS;社会主义党;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x
left_wing_radical_COS;人民先锋党;Partido Vanguardia Popular;Partido Vanguardia Popular;;Partido Vanguardia Popular;;;;;;;;;;x
leninist_COS;社会工人党;Partido Acci髇 Socialist Obrera;Partido Acci髇 Socialist Obrera;;Partido Acci髇 Socialista Obrera;;;;;;;;;;x
stalinist_COS;哥斯达黎加亚共产党;Partido Comunista de Costa Rica;Partido Comunista de Costa Rica;;Partido Comunista de Costa Rica;;;;;;;;;;x
national_socialist_CRO;克罗地亚解放运动党;Hrvatski oslobodilacki pokret;Hrvatski oslobodilacki pokret;;Hrvatski oslobodilacki pokret;;;;;;;;;;x
fascistic_CRO;乌斯塔沙;Ustasha;Ustasha;;Ustasha;;;;;;;;;;x
paternal_autocrat_CRO;克罗地亚权利党;Hrvatska stranka prava;Hrvatska stranka prava;;Hrvatska stranka prava;;;;;;;;;;x
social_conservative_CRO;克罗地亚社会保守党;Hrvatska seljacka stranka;Hrvatska seljacka stranka;;Hrvatska seljacka stranka;;;;;;;;;;x
market_liberal_CRO;自由党;Liberalna stranka;Liberalna stranka;;Liberalna stranka;;;;;;;;;;x
social_liberal_CRO;克罗地亚社会自由党;Hrvatska socijalno liberalna stranka;Hrvatska socijalno liberalna stranka;;Hrvatska socijalno liberalna stranka;;;;;;;;;;x
social_democrat_CRO;克罗地亚社会民主党党;Socijaldemokratska partija Hrvatske;Socijaldemokratska partija Hrvatske;;Socijaldemokratska partija Hrvatske;;;;;;;;;;x
left_wing_radical_CRO;克罗地亚进步党;Hrvatska napredna stranka;Hrvatska napredna stranka;;Hrvatska napredna stranka;;;;;;;;;;x
leninist_CRO;克罗地亚共产主义联盟;Savez komunista Hrvatske;Savez komunista Hrvatske;;Savez komunista Hrvatske;;;;;;;;;;x
stalinist_CRO;克罗地亚共产党;Komunisticka partija Hrvatske;Komunisticka partija Hrvatske;;Komunisticka partija Hrvatske;;;;;;;;;;x
national_socialist_CUB;国家社会主义运动党;Movimiento National Socialista;Movimiento National Socialista;;Movimiento National Socialista;;;;;;;;;;x
fascistic_CUB;古巴长枪党;Falange de Cuba;Falange de Cuba;;Falange de Cuba;;;;;;;;;;x
paternal_autocrat_CUB;自治党;Partido Aut閚tico;Partido Aut閚tico;;Partido Aut閚tico;;;;;;;;;;x
social_conservative_CUB;古巴民主党;Partido Dem骳rata Cristiano de Cuba;Partido Dem骳rata Cristiano de Cuba;;Partido Dem骳rata Cristiano de Cuba;;;;;;;;;;x
market_liberal_CUB;古巴自由联盟;Uni髇 Liberal Cubana;Uni髇 Liberal Cubana;;Uni髇 Liberal Cubana;;;;;;;;;;x
social_liberal_CUB;古巴自由运动党;Movimiento Liberal Cubano;Movimiento Liberal Cubano;;Movimiento Liberal Cubano;;;;;;;;;;x
social_democrat_CUB;古巴社会民主党;PSRDC;PSRDC;;PSRDC;;;;;;;;;;x
left_wing_radical_CUB;东正教党;Partido Ortodoxo;Partido Ortodoxo;;Partido Ortodoxo;;;;;;;;;;x
leninist_CUB;人民社会主义党;Partido Socialista Popular;Partido Socialista Popular;;Partido Socialista Popular;;;;;;;;;;x
stalinist_CUB;古巴共产党,;Partido Comunista de Cuba,;Partido Comunista de Cuba,;;Partido Comunista de Cuba,;;;;;;;;;;x
national_socialist_CYN;国家社会主义党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_CYN;中国青年年党;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x
paternal_autocrat_CYN;滇系;Clique de Yunnan;Yunnan-Clique;;Yunnan Clique;;;;;;;;;;x
social_conservative_CYN;保皇党;Soci閠?pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protecci髇 al Emperador;;;;;;;;;;x
market_liberal_CYN;立宪党;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x
social_liberal_CYN;维新党;Parti r閒ormiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien D韆s;;;;;;;;;;x
social_democrat_CYN;进步党;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x
left_wing_radical_CYN;五四运动;Mouvement du 4 mai;4. Mai-Bewegung;;Movimiento del Cuatro de Mayo;;;;;;;;;;x
leninist_CYN;中国工农党;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos de China;;;;;;;;;;x
stalinist_CYN;中国共产党;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x
national_socialist_DDR;德国国家民主党;NDPD;NDPD;;NDPD;;;;;;;;;;x
fascistic_DDR;DRP;DRP;民主共和党;;DRP;;;;;;;;;;x
paternal_autocrat_DDR;德国右翼党;DReP;DReP;;DReP;;;;;;;;;;x
social_conservative_DDR;德国农民民主党;DBD;DBD;;DBD;;;;;;;;;;x
market_liberal_DDR;德国自由民主党;LDPD;LDPD;;LDPD;;;;;;;;;;x
social_liberal_DDR;德国基督民主联盟;CDU;CDU;;CDU;;;;;;;;;;x
social_democrat_DDR;德国社会民主党;SPD;SPD;;SPD;;;;;;;;;;x
left_wing_radical_DDR;德国共产党;DKP;DKP;;DKP;;;;;;;;;;x
leninist_DDR;德国马列主义党;MLPD;MLPD;;MLPD;;;;;;;;;;x
stalinist_DDR;德国社会联盟党;SED;SED;;SED;;;;;;;;;;x
national_socialist_DEN;丹麦国家社会主义工人党;Nationalsocialistiske Arbejderparti;Nationalsocialistiske Arbejderparti;;Nationalsocialistiske Arbejderparti;;;;;;;;;;x
fascistic_DEN;农民党;Bondepartiet;Bondepartiet;;Bondepartiet;;;;;;;;;;x
paternal_autocrat_DEN;丹麦联盟;Danish Unity;Danish Unity;;Uni髇 Danesa;;;;;;;;;;x
social_conservative_DEN;丹麦人民保守党;Det Konservative Folkeparti;Det Konservative Folkeparti;;Det Konservative Folkeparti;;;;;;;;;;x
market_liberal_DEN;丹麦自由党;Venstre;Venstre;;Venstre;;;;;;;;;;x
social_liberal_DEN;左翼激进党;Radikale Venstre;Radikale Venstre;;Radikale Venstre;;;;;;;;;;x
social_democrat_DEN;丹麦社会民主党;Socialdemokraterne;Socialdemokraterne;;Socialdemokraterne;;;;;;;;;;x
left_wing_radical_DEN;丹麦正义党;Danmarks Retsforbund;Danmarks Retsforbund;;Danmarks Retsforbund;;;;;;;;;;x
leninist_DEN;丹麦列宁主义共产党;Venstresocialistiske Parti;Venstresocialistiske Parti;;Venstresocialistiske Parti;;;;;;;;;;x
stalinist_DEN;丹麦共产党;Danmarks Kommunistiske Parti;Danmarks Kommunistiske Parti;;Danmarks Kommunistiske Parti;;;;;;;;;;x
national_socialist_DFR;德国民主党;SRD;SRD;;SRD;;;;;;;;;;x
fascistic_DFR;德国民主共和党;DRP;DRP;;DRP;;;;;;;;;;x
paternal_autocrat_DFR;德国右翼党;DReP;DReP;;DReP;;;;;;;;;;x
social_conservative_DFR;德国民主党;DP;DP;;DP;;;;;;;;;;x
market_liberal_DFR;德国自由民主党;FDP;FDP;;FDP;;;;;;;;;;x
social_liberal_DFR;德国基督教民主联盟;CDU;CDU;;CDU;;;;;;;;;;x
social_democrat_DFR;德国社会民主党;SPD;SPD;;SPD;;;;;;;;;;x
left_wing_radical_DFR;德国共产党;DKP;DKP;;DKP;;;;;;;;;;x
leninist_DFR;德国马列主义党;MLPD;MLPD;;MLPD;;;;;;;;;;x
stalinist_DFR;德国共产党;KPD;KPD;;KPD;;;;;;;;;;x
national_socialist_DOM;国家社会主义运动党;Movimiento National Socialista;Movimiento National Socialista;;Movimiento National Socialista;;;;;;;;;;x
fascistic_DOM;多米尼加长枪党;Falange de Dominicano;Falange de Dominicano;;Falange Dominicana;;;;;;;;;;x
paternal_autocrat_DOM;多米尼加党;Partido Dominicano;Partido Dominicano;;Partido Dominicano;;;;;;;;;;x
social_conservative_DOM;基督教社会改革党;Partido Reformista Social Cristiano;Partido Reformista Social Cristiano;;Partido Reformista Social Cristiano;;;;;;;;;;x
market_liberal_DOM;进步力量联盟;Fuerza Nacional Progresista;Fuerza Nacional Progresista;;Fuerza Nacional Progresista;;;;;;;;;;x
social_liberal_DOM;多米尼加自由解放党;Partido de la Liberaci髇 Dominicana;Partido de la Liberaci髇 Dominicana;;Partido de la Liberaci髇 Dominicana;;;;;;;;;;x
social_democrat_DOM;多米尼加革命党;Partido Revolucionario Dominicano;Partido Revolucionario Dominicano;;Partido Revolucionario Dominicano;;;;;;;;;;x
left_wing_radical_DOM;多米尼加劳动党;Partido de los Trabajadores Dominicanos;Partido de los Trabajadores Dominicanos;;Partido de los Trabajadores Dominicanos;;;;;;;;;;x
leninist_DOM;多米尼加人民运动党;Movimiento Popular Dominicano;Movimiento Popular Dominicano;;Movimiento Popular Dominicano;;;;;;;;;;x
stalinist_DOM;多米尼加共产党,;Partido Comunista de Dominicano,;Partido Comunista de Dominicano,;;Partido Comunista Dominicano;;;;;;;;;;x
national_socialist_ECU;国家社会主义运动党;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_ECU;厄瓜多尔长枪党;Falange del Ecuador;Falange del Ecuador;;Falange del Ecuador;;;;;;;;;;x
paternal_autocrat_ECU;国家自治党;Acci髇 Nacional;Acci髇 Nacional;;Acci髇 Nacional;;;;;;;;;;x
social_conservative_ECU;社会保守党;Frente Radical Alfarista;Frente Radical Alfarista;;Frente Radical Alfarista;;;;;;;;;;x
market_liberal_ECU;厄瓜多尔自由激进党;Partido Liberal Radical Ecuatoriano;Partido Liberal Radical Ecuatoriano;;Partido Liberal Radical Ecuatoriano;;;;;;;;;;x
social_liberal_ECU;人民党;Concentraci髇 de Fuerzas Populares;Concentraci髇 de Fuerzas Populares;;Concentraci髇 de Fuerzas Populares;;;;;;;;;;x
