guiData = {
	state.visible = yes
	regions.25.affectedPopulation = "控制人口：0"
	regions.25.controlledPercentageText = "控制程度：0.0%"
	regions.25.remainingPopulation = "剩余人口：212.2 万"

	regions.26.controlledPercentage = 0.0
	regions.26.affectedPopulation = "控制人口：0"
	regions.26.controlledPercentageText = "控制程度：0.0%"
	regions.26.remainingPopulation = "剩余人口：218.5 万"

	regions.27.controlledPercentage = 0.0
	regions.27.affectedPopulation = "控制人口：0"
	regions.27.controlledPercentageText = "控制程度：0.0%"
	regions.27.remainingPopulation = "剩余人口：756.5 万"

	regions.28.controlledPercentage = 0.0
	regions.28.affectedPopulation = "控制人口：0"
	regions.28.controlledPercentageText = "控制程度：0.0%"
	regions.28.remainingPopulation = "剩余人口：300.5 万"

	regions.29.controlledPercentage = 0.0
	regions.29.affectedPopulation = "控制人口：0"
	regions.29.controlledPercentageText = "控制程度：0.0%"
	regions.29.remainingPopulation = "剩余人口：223.1 万"

	regions.30.controlledPercentage = 0.0
	regions.30.affectedPopulation = "控制人口：0"
	regions.30.controlledPercentageText = "控制程度：0.0%"
	regions.30.remainingPopulation = "剩余人口：68.0 万"

	regions.31.controlledPercentage = 0.0
	regions.31.affectedPopulation = "控制人口：0"
	regions.31.controlledPercentageText = "控制程度：0.0%"
	regions.31.remainingPopulation = "剩余人口：14.9 万"

	regions.32.controlledPercentage = 0.0
	regions.32.affectedPopulation = "控制人口：0"
	regions.32.controlledPercentageText = "控制程度：0.0%"
	regions.32.remainingPopulation = "剩余人口：209.3 万"

	regions.33.controlledPercentage = 0.0
	regions.33.affectedPopulation = "控制人口：0"
	regions.33.controlledPercentageText = "控制程度：0.0%"
	regions.33.remainingPopulation = "剩余人口：68.8 万"

	regions.34.controlledPercentage = 0.0
	regions.34.affectedPopulation = "控制人口：0"
	regions.34.controlledPercentageText = "控制程度：0.0%"
	regions.34.remainingPopulation = "剩余人口：84.8 万"

	regions.35.controlledPercentage = 0.0
	regions.35.affectedPopulation = "控制人口：0"
	regions.35.controlledPercentageText = "控制程度：0.0%"
	regions.35.remainingPopulation = "剩余人口：560.8 万"

	regions.36.controlledPercentage = 0.0
	regions.36.affectedPopulation = "控制人口：0"
	regions.36.controlledPercentageText = "控制程度：0.0%"
	regions.36.remainingPopulation = "剩余人口：436.0 万"

	regions.37.controlledPercentage = 0.0
	regions.37.affectedPopulation = "控制人口：0"
	regions.37.controlledPercentageText = "控制程度：0.0%"
	regions.37.remainingPopulation = "剩余人口：110.0 万"

	regions.38.controlledPercentage = 0.0
	regions.38.affectedPopulation = "控制人口：0"
	regions.38.controlledPercentageText = "控制程度：0.0%"
	regions.38.remainingPopulation = "剩余人口：529.1 万"

	regions.39.controlledPercentage = 0.0
	regions.39.affectedPopulation = "控制人口：0"
	regions.39.controlledPercentageText = "控制程度：0.0%"
	regions.39.remainingPopulation = "剩余人口：61.6 万"

	regions.40.controlledPercentage = 0.0
	regions.40.affectedPopulation = "控制人口：0"
	regions.40.controlledPercentageText = "控制程度：0.0%"
	regions.40.remainingPopulation = "剩余人口：300.0 万"

	regions.41.controlledPercentage = 0.0
	regions.41.affectedPopulation = "控制人口：0"
	regions.41.controlledPercentageText = "控制程度：0.0%"
	regions.41.remainingPopulation = "剩余人口：80.0 万"

	list = {
		name = "combat_region_list"
		revision = 3000

		item = {
			id = 1
			text = "广东省"
		}

		item = {
			id = 3
			text = "云南省"
		}

		item = {
			id = 5
			text = "西康省"
		}

		item = {
			id = 8
			text = "青海省"
		}
	}
}

